y_win,p_ioc,p_hand,o_ioc,o_hand,p_ht,p_age,p_rank,o_ht,o_age,o_rank,p_set_1,o_set_1,p_ace,p_df,p_svpt,p_1stWon,p_2ndWon,p_bpFaced,o_ace,o_df,o_svpt,o_1stWon,o_2ndWon,o_bpFaced
W,AUS,R,FRA,R,165,22,39,184,23,30,6,4,0,2,36,16,5,3,3,3,40,16,7,4
W,GER,L,USA,R,173,28,6,168,26,49,6,1,1,1,20,10,4,1,0,1,28,12,1,6
W,GER,R,GER,R,170,22,55,168,28,97,6,0,0,1,34,17,3,5,0,2,25,8,2,6
W,BLR,R,JPN,R,180,26,16,180,18,127,6,1,1,1,20,10,3,1,1,0,21,5,2,5
W,CZE,R,ESP,R,164,30,48,182,22,3,6,3,1,1,33,16,6,3,0,1,23,9,4,2
W,GBR,R,CZE,R,180,25,47,180,23,66,6,2,3,0,23,11,5,0,1,1,30,12,4,6
W,RUS,L,CZE,R,178,28,24,184,24,12,6,3,3,0,27,14,6,1,2,1,30,11,5,4
W,USA,R,SRB,R,178,21,17,183,28,23,4,6,1,1,36,14,6,5,0,2,32,13,5,4
W,CHN,R,USA,L,178,27,133,180,30,51,6,1,1,0,25,13,2,2,1,2,23,7,2,4
W,USA,R,RUS,R,175,34,1,183,21,58,6,2,2,1,21,9,6,1,2,2,23,9,2,6
W,RUS,R,SUI,R,188,29,5,175,19,13,7,5,11,4,42,17,10,3,0,1,47,17,9,8
W,POL,R,GER,R,170,27,4,175,22,82,6,7,1,0,34,15,6,4,1,2,36,12,5,5
W,ESP,R,AUS,R,162,27,11,165,22,39,0,6,1,1,23,9,3,3,1,1,30,13,2,5
W,GER,L,GER,R,173,28,6,170,22,55,6,4,1,2,37,12,8,5,0,3,25,8,2,7
W,BLR,R,CZE,R,180,26,16,164,30,48,6,2,0,1,27,17,3,1,1,2,30,13,4,4
W,GBR,R,RUS,L,180,25,47,178,28,24,4,6,1,2,36,13,10,4,0,2,45,20,5,4
W,CHN,R,USA,R,178,27,133,178,21,17,3,6,0,0,25,12,5,3,1,1,30,13,5,3
W,USA,R,RUS,R,175,34,1,188,29,5,6,4,7,2,32,14,7,3,2,4,29,10,5,5
W,POL,R,ESP,R,170,27,4,162,27,11,6,1,1,1,28,13,3,4,1,4,33,11,4,6
W,GER,L,BLR,R,173,28,6,180,26,16,6,3,2,1,35,13,7,4,1,2,40,15,5,7
W,GBR,R,CHN,R,180,25,47,178,27,133,6,4,4,2,31,13,6,3,0,2,28,8,5,5
W,USA,R,POL,R,175,34,1,170,27,4,6,0,4,1,21,12,4,1,0,2,26,8,4,3
W,GER,L,GBR,R,173,28,6,180,25,47,7,5,1,1,31,11,10,3,1,1,29,11,4,6
W,GER,L,USA,R,173,28,6,175,34,1,6,4,2,1,27,11,6,3,2,2,32,12,6,3
W,GER,L,UKR,R,173,29,1,174,28,51,6,2,1,1,30,12,8,3,0,1,30,12,6,4
W,GER,R,JPN,R,175,22,89,168,23,214,7,5,2,4,41,21,5,4,2,0,45,19,8,6
W,CZE,L,SUI,R,183,25,58,170,24,62,6,3,2,1,28,9,7,4,1,1,31,13,4,4
W,ROU,R,KAZ,R,181,26,29,180,29,39,5,7,1,3,34,14,8,2,1,1,30,11,8,2
W,CHN,R,RUS,R,173,31,83,170,20,25,6,0,2,2,33,15,4,4,0,0,32,11,3,5
W,CAN,R,USA,R,178,23,47,175,21,65,6,0,1,0,23,8,8,1,2,1,23,9,2,4
W,FRA,R,JPN,L,175,31,67,159,26,41,7,5,2,4,43,20,10,6,1,1,34,15,6,2
W,USA,R,ITA,R,185,25,35,163,34,19,6,1,4,4,33,12,10,1,1,2,32,11,6,3
W,ESP,R,SVK,R,162,28,12,168,24,102,6,2,1,2,30,13,6,2,0,2,28,10,3,5
W,ROU,R,RUS,L,176,27,78,168,22,95,6,2,2,3,36,16,8,3,1,2,21,6,5,3
W,USA,R,USA,R,175,27,42,168,27,69,7,5,2,1,36,17,6,4,1,3,34,13,5,5
W,CHN,R,BLR,R,178,28,23,175,23,118,6,0,2,1,21,14,2,0,1,3,21,8,3,3
W,LAT,U,JPN,R,170,27,33,163,22,103,6,4,1,2,13,4,5,1,0,1,14,6,2,2
W,SVK,R,USA,R,163,27,80,170,25,40,6,4,1,1,20,12,3,1,2,3,45,14,8,9
W,USA,R,USA,R,188,22,162,157,23,45,4,6,1,3,26,8,8,2,0,2,26,7,6,4
W,ESP,R,NZL,R,182,23,7,174,29,110,7,5,3,1,35,13,11,4,1,3,33,16,4,4
W,USA,R,ROU,R,175,24,52,168,25,4,6,3,1,0,27,12,6,1,1,1,36,15,4,6
W,AUS,R,GER,R,165,21,223,170,23,50,6,4,4,2,33,11,8,4,1,5,45,18,4,7
W,GER,R,AUS,R,185,27,181,175,17,273,6,3,3,2,38,19,7,2,2,4,35,14,9,2
W,PUR,R,ROU,R,170,23,46,173,22,107,6,0,1,0,21,8,7,1,1,1,19,6,2,6
W,USA,L,NED,R,180,31,88,182,25,22,7,5,2,2,51,23,7,8,1,2,38,14,8,4
W,CHN,R,SVK,R,185,28,87,178,20,120,6,3,1,2,33,16,5,4,3,2,24,8,6,3
W,SUI,R,JPN,R,170,27,112,155,25,77,2,6,2,1,22,10,5,1,0,0,28,9,6,3
W,USA,R,UKR,R,185,37,17,170,23,101,7,6,1,4,40,14,11,4,1,2,43,19,6,5
W,UKR,R,KAZ,R,174,22,13,183,32,274,6,0,1,3,32,15,6,3,1,2,27,8,5,8
W,USA,R,ITA,R,180,25,119,166,37,100,6,2,2,3,25,15,4,1,1,1,29,7,10,3
W,RUS,U,USA,R,185,20,129,165,28,75,6,3,2,1,28,14,3,4,1,1,29,10,4,5
W,RUS,R,RUS,R,177,26,27,170,28,85,6,1,2,2,35,14,9,3,1,3,36,14,4,5
W,SRB,R,GER,R,177,32,54,168,29,30,6,1,1,2,31,10,5,5,1,3,38,13,5,8
W,GER,R,CZE,R,180,28,57,175,21,37,3,6,2,3,28,13,6,2,1,2,32,14,6,3
W,AUS,U,GEO,R,168,17,414,171,27,199,6,4,2,1,44,18,7,7,0,3,38,12,7,6
W,RUS,R,COL,R,174,32,10,170,27,109,6,0,1,2,26,11,6,1,0,1,17,3,1,5
W,CZE,R,ESP,R,184,25,5,175,20,106,6,2,3,2,19,8,5,1,1,3,24,8,2,6
W,RUS,R,ROU,R,178,18,189,168,29,32,6,2,0,1,30,8,9,3,0,1,28,11,3,5
W,LAT,R,CHN,R,178,20,38,173,23,126,6,4,2,3,24,7,8,2,2,3,30,7,6,7
W,KAZ,R,ESP,R,163,22,31,166,25,63,7,6,2,2,50,20,6,5,1,4,56,15,15,7
W,AUS,R,GBR,R,165,23,26,188,27,97,3,6,2,1,27,15,4,1,6,0,28,12,6,2
W,CRO,R,FRA,R,175,19,36,184,24,44,6,4,5,7,42,17,8,5,1,3,25,9,4,2
W,MNE,R,CHN,R,170,22,68,170,23,84,6,0,2,1,21,9,5,2,0,2,25,7,4,6
W,SUI,R,ITA,R,170,28,15,168,25,74,6,4,2,1,34,13,6,6,1,4,41,14,8,6
W,RUS,R,ROU,R,176,30,18,173,24,125,7,5,3,2,29,14,6,3,2,2,31,9,6,6
W,LUX,R,POL,R,180,31,105,170,25,96,7,5,4,1,35,14,10,1,5,4,31,15,4,3
W,USA,R,UKR,R,178,22,116,175,23,122,6,3,4,1,24,12,6,1,1,3,32,9,7,5
W,GBR,R,AUS,R,170,25,81,172,33,21,6,3,2,2,28,12,5,1,2,1,36,13,5,4
W,FRA,R,FRA,R,173,27,43,175,26,200,6,3,1,4,29,11,5,4,0,4,32,10,5,5
